Anexo;Segmento;item;CEST;NCM;Descrição
II;AUTOPEÇAS;10;100100;3815.12.10 3815.12.90;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores
II;AUTOPEÇAS;20;100200;3917;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos
II;AUTOPEÇAS;30;100300;3918.10.00;Protetores de caçamba
II;AUTOPEÇAS;40;100400;3923.30.00;Reservatórios de óleo
II;AUTOPEÇAS;50;100500;3926.30.00;Frisos, decalques, molduras e acabamentos
II;AUTOPEÇAS;60;100600;4010.3 5910.00.00;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias
II;AUTOPEÇAS;70;100700;4016.93.00 4823.90.9;Juntas, gaxetas e outros elementos com função semelhante de vedação
II;AUTOPEÇAS;80;100800;4016.10.10;Partes de veículos automóveis, tratores e máquinas autopropulsadas
II;AUTOPEÇAS;90;100900;4016.99.90 5705.00.00;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins
II;AUTOPEÇAS;100;101000;5903.90.00;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico
II;AUTOPEÇAS;110;101100;5909.00.00;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias
II;AUTOPEÇAS;120;101200;6306.1;Encerados e toldos
II;AUTOPEÇAS;130;101300;6506.10.00;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores
II;AUTOPEÇAS;140;101400;6813;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias
II;AUTOPEÇAS;150;101500;7007.11.00 7007.21.00;Vidros de dimensões e formatos que permitam aplicação automotiva
II;AUTOPEÇAS;160;101600;7009.10.00;Espelhos retrovisores
II;AUTOPEÇAS;170;101700;7014.00.00;Lentes de faróis, lanternas e outros utensílios
II;AUTOPEÇAS;180;101800;7311.00.00;Cilindro de aço para GNV (gás natural veicular)
II;AUTOPEÇAS;190;101900;7311.00.00;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0
II;AUTOPEÇAS;200;102000;7320;Molas e folhas de molas, de ferro ou aço
II;AUTOPEÇAS;210;102100;7325;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00
II;AUTOPEÇAS;220;102200;7806.00;Peso de chumbo para balanceamento de roda
II;AUTOPEÇAS;230;102300;8007.00.90;Peso para balanceamento de roda e outros utensílios de estanho
II;AUTOPEÇAS;240;102400;8301.20 8301.60;Fechaduras e partes de fechaduras
II;AUTOPEÇAS;250;102500;8301.70;Chaves apresentadas isoladamente
II;AUTOPEÇAS;260;102600;8302.10.00 8302.30.00;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns
II;AUTOPEÇAS;270;102700;8310.00;Triângulo de segurança
II;AUTOPEÇAS;280;102800;8407.3;Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87
II;AUTOPEÇAS;290;102900;8408.20;Motores dos tipos utilizados para propulsão de veículos automotores
II;AUTOPEÇAS;300;103000;8409.9;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408
II;AUTOPEÇAS;310;103100;8412.2;Motores hidráulicos
II;AUTOPEÇAS;320;103200;8413.30;Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão
II;AUTOPEÇAS;330;103300;8414.10.00;Bombas de vácuo
II;AUTOPEÇAS;340;103400;8414.80.1 8414.80.2;Compressores e turbocompressores de ar
II;AUTOPEÇAS;350;103500;8413.91.90 8414.90.10 8414.90.3 8414.90.39;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
II;AUTOPEÇAS;360;103600;8415.20;Máquinas e aparelhos de ar condicionado
II;AUTOPEÇAS;370;103700;8421.23.00;Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão
II;AUTOPEÇAS;380;103800;8421.29.90;Filtros a vácuo
II;AUTOPEÇAS;390;103900;8421.9;Partes dos aparelhos para filtrar ou depurar líquidos ou gases
II;AUTOPEÇAS;400;104000;8424.10.00;Extintores, mesmo carregados
